Target: http://10.10.164.61/th1s_1s_h1dd3n/?secret=FUZZ
Total requests: 100
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00001:  C=200     18 L	      53 W	    407 Ch	  "1"
00003:  C=200     18 L	      53 W	    407 Ch	  "3"
00007:  C=200     18 L	      53 W	    407 Ch	  "7"
00040:  C=200     18 L	      53 W	    408 Ch	  "40"
00015:  C=200     18 L	      53 W	    408 Ch	  "15"
00042:  C=200     18 L	      53 W	    408 Ch	  "42"
00043:  C=200     18 L	      53 W	    408 Ch	  "43"
00039:  C=200     18 L	      53 W	    408 Ch	  "39"
00031:  C=200     18 L	      53 W	    408 Ch	  "31"
00041:  C=200     18 L	      53 W	    408 Ch	  "41"
00037:  C=200     18 L	      53 W	    408 Ch	  "37"
00038:  C=200     18 L	      53 W	    408 Ch	  "38"
00035:  C=200     18 L	      53 W	    408 Ch	  "35"
00032:  C=200     18 L	      53 W	    408 Ch	  "32"
00030:  C=200     18 L	      53 W	    408 Ch	  "30"
00029:  C=200     18 L	      53 W	    408 Ch	  "29"
00028:  C=200     18 L	      53 W	    408 Ch	  "28"
00036:  C=200     18 L	      53 W	    408 Ch	  "36"
00034:  C=200     18 L	      53 W	    408 Ch	  "34"
00033:  C=200     18 L	      53 W	    408 Ch	  "33"
00027:  C=200     18 L	      53 W	    408 Ch	  "27"
00026:  C=200     18 L	      53 W	    408 Ch	  "26"
00024:  C=200     18 L	      53 W	    408 Ch	  "24"
00025:  C=200     18 L	      53 W	    408 Ch	  "25"
00023:  C=200     18 L	      53 W	    408 Ch	  "23"
00021:  C=200     18 L	      53 W	    408 Ch	  "21"
00022:  C=200     18 L	      53 W	    408 Ch	  "22"
00019:  C=200     18 L	      53 W	    408 Ch	  "19"
00018:  C=200     18 L	      53 W	    408 Ch	  "18"
00020:  C=200     18 L	      53 W	    408 Ch	  "20"
00014:  C=200     18 L	      53 W	    408 Ch	  "14"
00017:  C=200     18 L	      53 W	    408 Ch	  "17"
00016:  C=200     18 L	      53 W	    408 Ch	  "16"
00013:  C=200     18 L	      53 W	    408 Ch	  "13"
00012:  C=200     18 L	      53 W	    408 Ch	  "12"
00011:  C=200     18 L	      53 W	    408 Ch	  "11"
00006:  C=200     18 L	      53 W	    407 Ch	  "6"
00009:  C=200     18 L	      53 W	    407 Ch	  "9"
00010:  C=200     18 L	      53 W	    408 Ch	  "10"
00008:  C=200     18 L	      53 W	    407 Ch	  "8"
00005:  C=200     18 L	      53 W	    407 Ch	  "5"
00002:  C=200     18 L	      53 W	    407 Ch	  "2"
00004:  C=200     18 L	      53 W	    407 Ch	  "4"
00044:  C=200     18 L	      53 W	    408 Ch	  "44"
00066:  C=200     18 L	      53 W	    408 Ch	  "66"
00058:  C=200     18 L	      53 W	    408 Ch	  "58"
00064:  C=200     18 L	      53 W	    408 Ch	  "64"
00046:  C=200     18 L	      53 W	    408 Ch	  "46"
00050:  C=200     18 L	      53 W	    408 Ch	  "50"
00065:  C=200     18 L	      53 W	    408 Ch	  "65"
00061:  C=200     18 L	      53 W	    408 Ch	  "61"
00063:  C=200     18 L	      53 W	    408 Ch	  "63"
00062:  C=200     18 L	      53 W	    408 Ch	  "62"
00060:  C=200     18 L	      53 W	    408 Ch	  "60"
00057:  C=200     18 L	      53 W	    408 Ch	  "57"
00059:  C=200     18 L	      53 W	    408 Ch	  "59"
00056:  C=200     18 L	      53 W	    408 Ch	  "56"
00054:  C=200     18 L	      53 W	    408 Ch	  "54"
00055:  C=200     18 L	      53 W	    408 Ch	  "55"
00053:  C=200     18 L	      53 W	    408 Ch	  "53"
00052:  C=200     18 L	      53 W	    408 Ch	  "52"
00049:  C=200     18 L	      53 W	    408 Ch	  "49"
00051:  C=200     18 L	      53 W	    408 Ch	  "51"
00048:  C=200     18 L	      53 W	    408 Ch	  "48"
